id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
recEgX5yhVeCjl3bl,J_3332_ST10_3050; 4200_28,3332,ST10,DĄB NEBRASKA SZARY,https://qr-codes-page.vercel.app/product/recEgX5yhVeCjl3bl,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recEgX5yhVeCjl3bl, J_3332_ST10_3050; 4200_28"
recJzqy0g5uFYN0zW,J_3331_ST10_3050; 4200_28,3331,ST10,DĄB NEBRASKA,https://qr-codes-page.vercel.app/product/recJzqy0g5uFYN0zW,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recJzqy0g5uFYN0zW, J_3331_ST10_3050; 4200_28"
recHjAcMeuULk6kT5,J_3730_ST10_3050; 4200_28,3730,ST10,HIKORA NATURALNA,https://qr-codes-page.vercel.app/product/recHjAcMeuULk6kT5,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recHjAcMeuULk6kT5, J_3730_ST10_3050; 4200_28"
recU6CemsDze55wux,J_112_GR_3050; 4200_28,112,GR,JASNO SZARY,https://qr-codes-page.vercel.app/product/recU6CemsDze55wux,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recU6CemsDze55wux, J_112_GR_3050; 4200_28"
recIVuc6ncSpGVJWG,J_5186_MATT_3050; 4200_28,5186,MATT,MARMUR BLANCHENOWOŚĆ,https://qr-codes-page.vercel.app/product/recIVuc6ncSpGVJWG,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recIVuc6ncSpGVJWG, J_5186_MATT_3050; 4200_28"
rec5LmSVde9vLNVl6,J_5163_P_3050_28,5163,P,MARMUR BRĄZOWY,https://qr-codes-page.vercel.app/product/rec5LmSVde9vLNVl6,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/rec5LmSVde9vLNVl6, J_5163_P_3050_28"
reczvkiL2I3Efo1Kn,J_5090 (990GR)_QUARTZ_3050; 4200_28,5090 (990GR),QUARTZ,MARMUR CREAM CARRARANOWOŚĆ,https://qr-codes-page.vercel.app/product/reczvkiL2I3Efo1Kn,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/reczvkiL2I3Efo1Kn, J_5090 (990GR)_QUARTZ_3050; 4200_28"
recW4nlr8iuAlT61G,J_5177_MATT_3050; 4200_28,5177,MATT,MARMUR CASPIO ZŁOTYNOWOŚĆ,https://qr-codes-page.vercel.app/product/recW4nlr8iuAlT61G,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recW4nlr8iuAlT61G, J_5177_MATT_3050; 4200_28"
recS8ygW01ixWCSaX,J_5187_MATT_3050; 4200_28,5187,MATT,MARMUR EFEZNOWOŚĆ,https://qr-codes-page.vercel.app/product/recS8ygW01ixWCSaX,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recS8ygW01ixWCSaX, J_5187_MATT_3050; 4200_28"
recPja9vLYdZEQp79,J_5162_P_3050_28,5162,P,MARMUR SZARY,https://qr-codes-page.vercel.app/product/recPja9vLYdZEQp79,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 82,40","PLN 174,49","PLN 180,48","PLN 186,46","PLN 203,91","PLN 139,78","PLN 177,20","PLN 183,36","PLN 189,53","PLN 181,31","https://qr-codes-page.vercel.app/product/recPja9vLYdZEQp79, J_5162_P_3050_28"
